cbs_code,description,cbs_level,phase,row_type,unit,qty,size_note,unit_cost_low,unit_cost_ml,unit_cost_high,total_low,total_ml,total_high,dur_low_days,dur_ml_days,dur_high_days,notes,sens_drivers,sens_rationale,inservice_year,gantt_index
C1.1.1,Planning & Project Management,3,Phase 1,INPUT,Months,18.0,18-month pre-build programme,4000.0,7000.0,11000.0,72000.0,126000.0,198000.0,90.0,150.0,240.0,"PM, planning consultant, architect prelims, programme coordination","LAB, REG",PM/architect day rates; planning delays extend fees,,2
C1.1.2,Surveys Site Investigations & Permits,3,Phase 1-2,INPUT,Item,1.0,"Topo, geo, ecology, planning application",35000.0,60000.0,95000.0,35000.0,60000.0,95000.0,30.0,60.0,90.0,"Topographic survey, ground investigation, ecology report, planning app fees, pre-app meetings","LAB, REG",Surveyor rates; ecological/planning conditions can add scope,,3
C1.2.1.1.1,Site Clearance & Levelling,5,Phase 3,INPUT,m²,1200.0,1200m² clearance,8.0,14.0,22.0,9600.0,16800.0,26400.0,5.0,8.0,14.0,"Strip topsoil, level site, vegetation removal","LAB, FUEL",Plant hire & haulage; rural Devon access costs,,23
C1.2.1.1.2,Excavation & Earthworks,5,Phase 3,INPUT,m³,1500.0,~1500m³ inc basement dig,28.0,42.0,65.0,42000.0,63000.0,97500.0,8.0,12.0,20.0,"Bulk excavation, basement dig, spoil removal (rural haulage premium)","MAT, LAB, FUEL","Concrete, rebar; excavation plant; spoil haulage — all volatile",,23
C1.2.1.1.3,Foundation Concrete & Reinforcement,5,Phase 3,INPUT,m²,800.0,800m² strip/raft,85.0,125.0,190.0,68000.0,100000.0,152000.0,10.0,15.0,25.0,"Concrete foundations, rebar, blinding, formwork","MAT, LAB",Concrete & rebar — steel price sensitive; formwork labour,,23
C1.2.1.1.4,Ground Floor Slab,5,Phase 3,INPUT,m²,800.0,800m² insulated slab,35.0,55.0,80.0,28000.0,44000.0,64000.0,5.0,8.0,14.0,Insulated concrete slab with UFH provision,"MAT, LAB",Concrete slab; insulation board — petrochemical derived,,23
C1.2.1.1.5,Damp Proof Course & Tanking,5,Phase 3,INPUT,m²,800.0,DPC + basement tanking 600m²,18.0,28.0,42.0,14400.0,22400.0,33600.0,3.0,5.0,8.0,"DPC throughout, full basement tanking system","MAT, LAB, SPEC",Tanking membranes; specialist tanking contractor,,23
C1.2.1.2,Superstructure Walls,4,Phase 3,INPUT,m²,800.0,External & loadbearing walls,220.0,320.0,480.0,176000.0,256000.0,384000.0,30.0,50.0,75.0,"Blockwork/stone clad external, loadbearing internals. Modern trad farmhouse.","MAT, LAB","Blockwork, stone cladding, mortar — all material cost sensitive",,24
C1.2.1.3,Roof Structure,4,Phase 3,INPUT,m²,900.0,Roof plan ~900m² inc overhangs,120.0,180.0,280.0,108000.0,162000.0,252000.0,25.0,40.0,60.0,"Timber roof structure, complex farmhouse pitches, SE input","MAT, LAB",Structural timber — highly volatile (2021 spike +40%); SE fees,,25
C1.2.1.4,External Envelope,4,Phase 3,INPUT,m²,900.0,Roof covering + external wall finish,95.0,145.0,220.0,85500.0,130500.0,198000.0,20.0,35.0,55.0,"Natural slate or clay tile, render/stone facade, windows, ext doors","MAT, LAB, FUEL",Natural slate/clay tile — quarried material; rural delivery,,26
C1.2.1.5,First Fix MEP,4,Phase 3,INPUT,m²,800.0,800m² GIA,75.0,115.0,175.0,60000.0,92000.0,140000.0,20.0,30.0,50.0,"First fix plumbing, heating pipework, electrical, data/AV cabling","MAT, LAB","Copper pipework, cable — copper price volatile; trade rates",,27
C1.2.1.6,Internal Walls & Partitions,4,Phase 3,INPUT,m²,600.0,~600m² partitions,45.0,70.0,110.0,27000.0,42000.0,66000.0,15.0,25.0,40.0,Timber stud and blockwork partitions throughout,"MAT, LAB","Blockwork, stud, board — material & trade rates",,28
C1.2.1.7,Plaster & Insulation,4,Phase 3,INPUT,m²,800.0,800m² GIA,40.0,60.0,90.0,32000.0,48000.0,72000.0,20.0,30.0,45.0,"Full insulation package, plastering throughout","MAT, LAB","Insulation board (petrochemical), plaster, mesh",,29
C1.2.1.8,Second Fix & Fixtures,4,Phase 3,INPUT,m²,800.0,800m² GIA,80.0,130.0,200.0,64000.0,104000.0,160000.0,25.0,40.0,60.0,"Second fix plumbing, electrical, sanitaryware, radiators/UFH","MAT, LAB, SPEC","Sanitaryware, radiators, second fix trades; high spec items",,30
C1.2.1.9,Finishes,4,Phase 3,INPUT,m²,800.0,800m² GIA,65.0,110.0,180.0,52000.0,88000.0,144000.0,20.0,35.0,55.0,"Floor finishes, tiling, decoration, joinery finishes throughout","MAT, LAB, SPEC","Tiles, stone flooring, timber flooring — material sensitive",,31
C1.2.1.10.1,Basement Structural Shell,5,Phase 3,INPUT,m²,150.0,150m² tanked shell,350.0,500.0,780.0,52500.0,75000.0,117000.0,15.0,25.0,40.0,"Structural walls, tanking, slab, waterproofing","MAT, LAB, SPEC",Specialist tanking; structural concrete; single-source risk,,23
C1.2.1.10.2,Wine Cellar Fitout,5,Phase 3,INPUT,Item,1.0,~30m² climate controlled,8000.0,15000.0,28000.0,8000.0,15000.0,28000.0,5.0,8.0,14.0,"Racking, temp control, tiling, lighting","SPEC, LAB",Bespoke wine racking; climate control unit pricing,,33
C1.2.1.10.3,Bar Fitout,5,Phase 3,INPUT,Item,1.0,~25m² bar area,15000.0,28000.0,48000.0,15000.0,28000.0,48000.0,5.0,8.0,12.0,"Bespoke bar cabinetry, sink, refrigeration, bar top, backlit shelving","SPEC, LAB, MAT",Bespoke bar cabinetry; stone bar top; appliances,,33
C1.2.1.10.4,Entertainment Area,5,Phase 3,INPUT,Item,1.0,"~60m² pool table, cinema, seating",18000.0,32000.0,55000.0,18000.0,32000.0,55000.0,5.0,8.0,12.0,"AV system, projector/screen, acoustic panels, pool table, seating","SPEC, ENERGY",AV equipment pricing; energy for climate control,,33
C1.2.1.10.5,Basement MEP,5,Phase 3,INPUT,Item,1.0,Basement services,12000.0,22000.0,38000.0,12000.0,22000.0,38000.0,5.0,8.0,12.0,"HVAC, lighting, electrical, data, plumbing for basement","MAT, LAB","Standard MEP — copper, cable, ducting",,33
C1.2.1.11.1,Kitchen Units & Cabinetry,5,Phase 3,INPUT,Item,1.0,Bespoke high spec ~35m²,28000.0,55000.0,95000.0,28000.0,55000.0,95000.0,5.0,8.0,14.0,"Bespoke painted Shaker-style, soft close, integrated","SPEC, MAT","Bespoke cabinetry — long lead, single source; timber/paint",,32
C1.2.1.11.2,Kitchen Appliances,5,Phase 3,INPUT,Item,1.0,Full appliance package,12000.0,22000.0,40000.0,12000.0,22000.0,40000.0,3.0,5.0,8.0,"Aga/range, integrated fridge-freezer, dishwasher, wine cooler","SPEC, ENERGY",Aga/range cooker pricing; appliance supply chain,,32
C1.2.1.11.3,Kitchen Worktops & Sink,5,Phase 3,INPUT,Item,1.0,"Stone worktops, butler sink",5000.0,9000.0,16000.0,5000.0,9000.0,16000.0,2.0,3.0,5.0,"Quartz or granite, Belfast sink, taps","MAT, SPEC",Quartz/granite — stone pricing; butler sink,,32
C1.2.1.11.4,Pantry Fitout,5,Phase 3,INPUT,Item,1.0,Walk-in pantry ~12m²,4500.0,8000.0,14000.0,4500.0,8000.0,14000.0,2.0,3.0,5.0,"Shelving, worktop, small sink, larder storage","MAT, LAB","Shelving, worktop — standard materials",,32
C1.2.1.11.5,Utility Room Fitout,5,Phase 3,INPUT,Item,1.0,Walk-in utility ~14m²,6000.0,10000.0,18000.0,6000.0,10000.0,18000.0,2.0,3.0,5.0,"Worktops, laundry appliances, sink, storage, boot room","MAT, LAB","Laundry appliances, worktops — standard",,32
C1.2.1.12.1,Library Bespoke Joinery,5,Phase 3,INPUT,Item,1.0,Floor-to-ceiling shelving ~20m²,12000.0,20000.0,35000.0,12000.0,20000.0,35000.0,5.0,8.0,12.0,"Bespoke painted shelving, rolling ladder, reading nook","SPEC, MAT","Bespoke joinery — timber, paint; specialist joiner rates",,31
C1.2.1.12.2,Office Fitout x2,5,Phase 3,INPUT,Item,2.0,~14m² each,4000.0,7000.0,12000.0,8000.0,14000.0,24000.0,3.0,5.0,8.0,"Fitted desks, storage, data/AV, joinery","MAT, LAB",Standard desk & storage fitout,,31
C1.2.1.12.3,Lounge Fireplace & Joinery,5,Phase 3,INPUT,Item,1.0,Feature fireplace + joinery,8000.0,14000.0,24000.0,8000.0,14000.0,24000.0,3.0,5.0,8.0,"Log burner or open fire, bespoke surround, TV joinery","SPEC, MAT, FUEL",Log burner unit + twin-wall flue; rural delivery of stove,,31
C1.2.1.12.4,Coffee Bar Fitout,5,Phase 3,INPUT,Item,1.0,~6m²,3500.0,6000.0,10000.0,3500.0,6000.0,10000.0,2.0,3.0,5.0,"Cabinetry, worktop, commercial coffee machine, sink","SPEC, MAT",Commercial coffee machine pricing; cabinetry,,32
C1.2.1.12.5,Sunroom Fitout,5,Phase 3,INPUT,Item,1.0,~20m²,18000.0,32000.0,55000.0,18000.0,32000.0,55000.0,5.0,8.0,12.0,"Glazed extension or internal sunroom, bifolds/glazed roof, tiling, blinds","MAT, SPEC",Glazing & bifolds — aluminium/glass pricing,,31
C1.2.1.12.6,Guest WC Fitout x2,5,Phase 3,INPUT,Item,2.0,2x downstairs guest WCs,1800.0,3200.0,5500.0,3600.0,6400.0,11000.0,2.0,3.0,5.0,"FR-07: 2 downstairs guest toilets. Tiled, WC, vanity basin, heated towel rail per unit. High spec.","MAT, LAB","Sanitaryware, tiling — standard materials",,30
C1.2.1.12.7,Wood Fireplace & Flue Installation,5,Phase 3,INPUT,Item,1.0,Feature wood burning stove + flue,4500.0,7500.0,14000.0,4500.0,7500.0,14000.0,3.0,5.0,8.0,"FR-01/NFR-11: Log burning stove or open fireplace. Includes register plate, liner, twin-wall flue, hearth, surround. Building regs compliance.","SPEC, MAT, FUEL",Log burner or open fire; flue liner; rural delivery,,31
C1.2.1.13.1,Orangery Structure & Glazing,5,Phase 3,INPUT,m²,45.0,45m² orangery,800.0,1300.0,2000.0,36000.0,58500.0,90000.0,10.0,18.0,30.0,"Hardwood/aluminium frame, roof lantern, large glazed panels","SPEC, MAT",Bespoke glazed structure — aluminium/hardwood; glazing pricing,,34
C1.2.1.13.2,Orangery Internal Finishes,5,Phase 3,INPUT,Item,1.0,"Flooring, plaster, doors",6000.0,10000.0,18000.0,6000.0,10000.0,18000.0,5.0,8.0,12.0,"Tiled floor, plastered walls, bifold garden doors","MAT, LAB","Tiling, plastering — standard trades",,34
C1.2.1.13.3,Outdoor Kitchen Structure & Cover,5,Phase 3,INPUT,Item,1.0,~20m² covered structure,8000.0,15000.0,28000.0,8000.0,15000.0,28000.0,5.0,8.0,14.0,"Pergola/roof, stone or render walls","MAT, LAB, FUEL",Pergola/roof structure; rural delivery of materials,,34
C1.2.1.13.4,Outdoor Kitchen Appliances & Fitout,5,Phase 3,INPUT,Item,1.0,"BBQ, sink, fridge, worktops",6000.0,12000.0,22000.0,6000.0,12000.0,22000.0,3.0,5.0,8.0,"Built-in BBQ, outdoor fridge, stone worktops, outdoor sink","SPEC, MAT","Built-in BBQ, outdoor fridge — specialist outdoor kitchen",,34
C1.2.1.14.1,Solar PV Panels,5,Phase 3,INPUT,kWp,30.0,30kWp array,900.0,1300.0,1900.0,27000.0,39000.0,57000.0,5.0,8.0,12.0,"Roof or ground mounted, inverters, mounting","MAT, ENERGY, SPEC",Solar panel pricing — commodity sensitive; inverter supply chain,,48
C1.2.1.14.2,Battery Storage Packs,5,Phase 3,INPUT,kWh,30.0,30kWh storage,600.0,900.0,1400.0,18000.0,27000.0,42000.0,2.0,3.0,5.0,"Lithium battery packs, BMS, solar integration","MAT, ENERGY, SPEC",Lithium battery pricing — highly volatile; supply chain risk,,49
C1.2.1.14.3,Small Wind Turbine,5,Phase 3,INPUT,Item,1.0,~6kW turbine,12000.0,20000.0,35000.0,12000.0,20000.0,35000.0,5.0,8.0,14.0,"Planning likely needed, tower, grid tie inverter","SPEC, REG, FUEL",Wind turbine unit + tower; planning consent; crane hire,,47
C1.2.1.15.1,Mains Water Connection to House,5,Phase 3,INPUT,Item,1.0,South West Water mains connection,3500.0,7000.0,15000.0,3500.0,7000.0,15000.0,5.0,8.0,14.0,FR-45: Mains water supply for main house (separate from farm borehole). SW Water connection charge + groundworks for supply pipe. Rural North Devon — potentially long run.,"REG, FUEL",SW Water connection charge variable; groundworks for rural run,,16
C1.2.1.18.1,Formal Garden Design & Planting,5,Phase 3,INPUT,m²,3000.0,~3000m² formal garden,12.0,22.0,38.0,36000.0,66000.0,114000.0,15.0,25.0,40.0,"Landscape design, soil prep, planting, turf","MAT, LAB, FUEL","Plants, topsoil, turf — material + delivery; landscape labour",,61
C1.2.1.18.2,Hard Landscaping Paths & Patios,5,Phase 3,INPUT,m²,500.0,"Paths, patios, steps ~500m²",65.0,110.0,180.0,32500.0,55000.0,90000.0,10.0,15.0,25.0,"Natural stone or porcelain paving, edging","MAT, LAB, FUEL",Natural stone/porcelain — material sensitive; rural delivery,,60
C1.2.1.18.3,Hydrotherapy Pool,5,Phase 3,INPUT,Item,1.0,Outdoor hydro pool ~8x4m,35000.0,60000.0,100000.0,35000.0,60000.0,100000.0,15.0,20.0,35.0,"Heated pool, jets, filtration, cover, surround","SPEC, MAT",Pool shell + heat pump; specialist pool contractor,,45
C1.2.1.18.4,Pool Plant Room & Services,5,Phase 3,INPUT,Item,1.0,Plant room for pool equipment,5000.0,9000.0,16000.0,5000.0,9000.0,16000.0,3.0,5.0,8.0,"Pump house, heat pump, electrical, plumbing","MAT, LAB, SPEC",Heat pump pricing; plant room build,,45
C1.2.1.19.1,Gym Structure & Shell,5,Phase 3,INPUT,m²,60.0,~60m² gym shell,350.0,500.0,750.0,21000.0,30000.0,45000.0,10.0,15.0,25.0,"Structure, insulation, floor, windows, doors","MAT, LAB","Standard structure — blockwork, insulation, floor",,44
C1.2.1.19.2,Gym Fitout & Equipment,5,Phase 3,INPUT,Item,1.0,"Weights, cardio, mats",20000.0,40000.0,70000.0,20000.0,40000.0,70000.0,5.0,8.0,14.0,"Rubber flooring, squat rack, dumbbells, cardio, mirrors","SPEC, FUEL",Gym equipment supply chain; delivery to rural Devon,,45
C1.2.1.19.3,Sauna Cabin,5,Phase 3,INPUT,Item,1.0,4-person sauna,8000.0,14000.0,22000.0,8000.0,14000.0,22000.0,3.0,5.0,8.0,"Pre-built or bespoke sauna, heater, benching","SPEC, MAT",Sauna cabin unit pricing; timber,,45
C1.2.1.19.4,Cold Plunge Tank,5,Phase 3,INPUT,Item,1.0,Cold plunge unit,4000.0,8000.0,15000.0,4000.0,8000.0,15000.0,2.0,3.0,5.0,"Stainless or timber cold plunge, chiller unit","SPEC, ENERGY",Cold plunge chiller unit — energy equipment pricing,,45
C1.2.1.19.5,Yoga & Bike Studio,5,Phase 3,INPUT,Item,1.0,~30m² dual purpose studio,12000.0,22000.0,38000.0,12000.0,22000.0,38000.0,5.0,8.0,12.0,"Sprung floor, mirrors, AV/sound, bike fixings, storage","MAT, LAB, SPEC","Sprung floor, mirrors, AV — mixed materials & specialist",,45
C1.2.1.19.6,Spa Shower & Changing,5,Phase 3,INPUT,Item,1.0,"Wet room, changing area",8000.0,14000.0,24000.0,8000.0,14000.0,24000.0,3.0,5.0,8.0,"Tiled wet room, steam option, vanity, lockers","MAT, LAB","Tiling, sanitaryware, wet room — standard trades",,45
C1.2.2.1,Annex Substructure & Superstructure,4,Phase 3,INPUT,m²,240.0,120m² x2 annexes,220.0,320.0,480.0,52800.0,76800.0,115200.0,25.0,40.0,60.0,"Foundations, walls, floors — both annexes","MAT, LAB","Blockwork, concrete — standard structure materials",,36
C1.2.2.2,Annex Roof & Envelope,4,Phase 3,INPUT,m²,280.0,Roof ~140m² per unit x2,90.0,140.0,210.0,25200.0,39200.0,58800.0,15.0,25.0,40.0,"Pitched roof, envelope, windows, doors","MAT, LAB, FUEL","Roof tiles/slate, windows — material + rural delivery",,36
C1.2.2.3,Annex Internal Fitout & Finishes,4,Phase 3,INPUT,m²,240.0,Full fitout both annexes,180.0,280.0,420.0,43200.0,67200.0,100800.0,20.0,30.0,50.0,"Kitchen, bathroom, flooring, decoration, joinery","MAT, LAB, SPEC","Kitchen, bathroom, flooring — mixed material & bespoke",,37
C1.2.2.4,Annex MEP Systems,4,Phase 3,INPUT,m²,240.0,MEP both annexes,65.0,100.0,155.0,15600.0,24000.0,37200.0,10.0,15.0,25.0,"Heating, plumbing, electrical, data","MAT, LAB","Standard MEP — copper, cable, radiators",,38
C1.2.3.1.1,Garage Foundations & Slab,5,Phase 3,INPUT,m²,200.0,200m² concrete slab,55.0,80.0,120.0,11000.0,16000.0,24000.0,5.0,8.0,12.0,"Reinforced slab, drainage falls","MAT, LAB",Reinforced slab — concrete & rebar,,40
C1.2.3.1.2,Garage Walls & Structure,5,Phase 3,INPUT,m²,200.0,Block or steel frame,120.0,175.0,260.0,24000.0,35000.0,52000.0,10.0,15.0,25.0,Blockwork or portal frame,"MAT, LAB",Blockwork or steel frame — steel price sensitive,,40
C1.2.3.1.3,Garage Roof,5,Phase 3,INPUT,m²,220.0,Roof area 220m²,55.0,85.0,130.0,12100.0,18700.0,28600.0,5.0,8.0,14.0,"Profiled steel or concrete tile, insulated","MAT, LAB, FUEL",Profiled steel cladding — steel pricing; rural delivery,,40
C1.2.3.2.1,Garage Roller Doors x4,5,Phase 3,INPUT,Item,4.0,Electric insulated roller doors,2200.0,3500.0,5500.0,8800.0,14000.0,22000.0,3.0,5.0,8.0,Insulated electric roller doors with remote,"SPEC, MAT",Insulated roller door units — supplier pricing,,40
C1.2.3.2.2,EV Charging Points x4,5,Phase 3,INPUT,Item,4.0,7-22kW chargers,800.0,1200.0,1800.0,3200.0,4800.0,7200.0,2.0,3.0,5.0,"Dedicated circuit, smart chargers","SPEC, ENERGY",EV charger unit pricing; energy infrastructure,,40
C1.2.3.2.3,Garage Electrical & Lighting,5,Phase 3,INPUT,Item,1.0,Full electrical fit,4500.0,7000.0,12000.0,4500.0,7000.0,12000.0,3.0,5.0,8.0,"LED lighting, consumer unit, sockets, security","MAT, LAB","Standard electrical — cable, consumer unit, LED",,40
C1.2.4.1.1,Barn 1 Main Agricultural Barn,5,Phase 3,INPUT,m²,250.0,250m² main barn,120.0,175.0,260.0,30000.0,43750.0,65000.0,15.0,22.0,35.0,"Main stock/equipment barn, concrete pad, portal frame","MAT, LAB, FUEL",Steel portal frame — steel price highly volatile; rural crane,,41
C1.2.4.1.2,Barn 2 Storage & Feed Store,5,Phase 3,INPUT,m²,150.0,150m² feed/storage barn,110.0,160.0,240.0,16500.0,24000.0,36000.0,10.0,15.0,25.0,"Feed store, equipment storage, concrete floor","MAT, LAB, FUEL",Smaller barn structure — steel + concrete; delivery,,41
C1.2.4.2,Barn Roof & Envelope,4,Phase 3,INPUT,m²,450.0,Roof + cladding ~450m²,55.0,85.0,130.0,24750.0,38250.0,58500.0,15.0,22.0,35.0,"Profiled steel cladding, agricultural roof sheets","MAT, LAB, FUEL",Profiled steel cladding/roofing — steel sensitive; delivery,,42
C1.2.4.3,Barn MEP & Electrical,4,Phase 3,INPUT,Item,1.0,Barn electrical & water,12000.0,22000.0,38000.0,12000.0,22000.0,38000.0,10.0,15.0,25.0,"3-phase power, lighting, water supply, drainage","MAT, LAB",Standard 3-phase electrical; water pipework,,42
C1.2.4.4.1,Large Sliding Barn Doors x4,5,Phase 3,INPUT,Item,4.0,4 sets large sliding doors,1800.0,3000.0,4800.0,7200.0,12000.0,19200.0,3.0,5.0,8.0,"Galvanised sliding doors, track, guide posts","MAT, FUEL",Galvanised steel doors — steel pricing; rural delivery,,42
C1.2.4.4.2,Livestock Pen Dividers,5,Phase 3,INPUT,Item,1.0,Internal pen system,3500.0,6000.0,10000.0,3500.0,6000.0,10000.0,3.0,5.0,8.0,"Steel penning for llamas, highland cows","MAT, LAB",Steel penning — standard agricultural steelwork,,42
